subject_name,word,share,pred_share,pred_dshare,slope_3yr,spec_cum
Mechanics of particles and systems,body,0.015384615384615385,0.01595269747269106,0.000568082088075678,0.007692307692307691,58.68142332108253
Mechanics of particles and systems,modeling,0.015384615384615385,0.009599049336347101,-0.005785566048268284,0.007692307692307691,4.530957356241776
Mechanics of particles and systems,disk,0.015384615384615385,0.0077728321973704224,-0.007611783187244963,0.007692307692307691,64.54562994404785
Mechanics of particles and systems,simulation,0.015384615384615385,0.005655908760044294,-0.009728706624571091,0.007692307692307691,5.08722263758823
Mechanics of particles and systems,dynamic,0.03076923076923077,0.017793354390237097,-0.012975876378993674,0.007187894073139977,7.0383374631820095
Nonassociative rings and algebras,quantum,0.0,0.009126955052543878,0.009126955052543878,-0.007936507936507929,7.2494847794221196
Nonassociative rings and algebras,algebraic,0.0,0.008188384860920161,0.008188384860920161,-0.007936507936507934,5.360901431258276
Nonassociative rings and algebras,category,0.0,0.008036461137607793,0.008036461137607793,3.459456044645314e-18,10.161886490807355
Nonassociative rings and algebras,group,0.008547008547008548,0.012822641317375365,0.004275632770366817,-0.0036630036630036574,3.6094132344397707
Nonassociative rings and algebras,leibniz,0.008547008547008548,0.008030644105797853,-0.0005163644412106947,0.004273504273504274,260.7326139088729
Number theory,diophantine_equation,0.0012953367875647669,0.003967676867571059,0.0026723400800062924,-0.0018554605173565402,40.57665605502149
Number theory,shimura_variety,0.0025906735751295338,0.004407914632299395,0.0018172410571698611,-0.003085138806928349,34.66384642951745
Number theory,quadratic_form,0.0025906735751295338,0.003871649402701481,0.0012809758275719476,0.0006695545597800369,30.804216469928317
Number theory,p$-adic,0.0038860103626943004,0.004831853176072915,0.0009458428133786138,-0.0018116881853612356,32.68305520497359
Number theory,galois_representation,0.006476683937823834,0.006728322320462838,0.000251638382639004,0.001360995285557725,43.531342027766094
Numerical analysis,discontinuous_galerkin,0.00631911532385466,0.009513635231090237,0.0031945199072355773,-0.0017384015217461373,21.301112641028016
Numerical analysis,finite_element,0.011848341232227487,0.013962083100881064,0.0021137418686535776,-0.002647257955314826,18.3985379870745
Numerical analysis,finite_difference,0.00315955766192733,0.0047102547755072605,0.0015506971135799306,-0.0025018538220975607,19.71255508813779
Numerical analysis,partial_differential,0.007898894154818325,0.009150668563224886,0.001251774408406561,0.0006841409549601823,7.788219309375869
Numerical analysis,hybridizable,0.0,0.0010721877477373833,0.0010721877477373833,-0.0004081632653061222,22.027286935608515
"Operations research, mathematical programming",logistic,0.0,0.0034560052556171623,0.0034560052556171623,-0.0028280542986425343,11.361826111826112
"Operations research, mathematical programming",proximal,0.0014577259475218659,0.0019611485564925138,0.0005034226089706477,-0.00040235874569608096,14.750440917107584
"Operations research, mathematical programming",station,0.0014577259475218659,0.0014525089504027016,-5.216997119164294e-06,0.0007288629737609329,12.739017155683822
"Operations research, mathematical programming",renewable,0.0029154518950437317,0.0025248867051522643,-0.0003905651898914672,0.0014577259475218656,10.700774410774411
"Operations research, mathematical programming",transportation,0.004373177842565598,0.0039040539991702363,-0.0004691238433953617,0.0004897563420972782,10.452880022880024
Operator theory,preserve,0.0,0.007423144093622236,0.007423144093622236,-0.007389162561576355,10.746834426448936
Operator theory,dilation,0.0,0.0045168767307539525,0.0045168767307539525,-0.0024630541871921174,64.06766677306096
Operator theory,product,0.005714285714285714,0.010055773661943495,0.004341487947657781,-0.0045320197044335,6.630526376359417
Operator theory,contractive,0.0,0.003620287491031811,0.003620287491031811,-0.0049261083743842365,80.97441217150761
Operator theory,neumann_algebras,0.0,0.0025148046875554347,0.0025148046875554347,-0.007389162561576356,35.593148207256085
"Optics, electromagnetic theory",investigation,0.0,0.008763247925165493,0.008763247925165493,6.694905966634973e-18,5.559320314303906
"Optics, electromagnetic theory",charge,0.0,0.004053484642655466,0.004053484642655466,3.3474529833174865e-18,13.437919572231474
"Optics, electromagnetic theory",radiation,0.010869565217391304,0.0109718124830767,0.00010224726568539577,-0.0007380568974771866,20.134407920935455
"Optics, electromagnetic theory",imaging,0.021739130434782608,0.018843529520563097,-0.002895600914219509,0.004696725711218465,18.744174993061335
